avalanche_id,location,trigger_date_time,trigger_date_time_accuracy_code,trigger_type,avalanche_type,avalanche_size,avalanche_moisture,start_zone_aspect,snow_depth_sat,lat,lon,Avalanche Event,closest_station,station_abbr,tre200h0,tre200hn,tre200hx,tre005h0,tre005hn,ure200h0,pva200h0,tde200h0,prestah0,pp0qffh0,pp0qnhh0,ppz700h0,ppz850h0,fkl010h1,dkl010h0,fkl010h0,fu3010h0,fu3010h1,fkl010h3,fu3010h3,wcc006h0,fve010h0,rre150h0,htoauths,gre000h0,oli000h0,olo000h0,osr000h0,ods000h0,sre000h0,erefaoh0,elevation,gradient_x,gradient_y,gradient_magnitude,aspect
ff002b7f-49f5-4ba6-971a-c1b18578a2b6,8.389256 46.787371,2023-04-15 08:30:00+02:00,2,EXPLOSIVE,SLAB,1,DRY,N,103,46.787371,8.389256,0,ENG,ENG,1.5,0.8,2.3,2.6,1.4,93.9,6.4,0.7,889.0,,1006.9,,1396.9,2.5,108.0,1.0,3.6,9.0,2.3,8.3,0.0,,0.4,0.0,141.0,320.0,,,,0.0,0.06,745.9564208984375,-514.3798828125,395.7275390625,648.9891748054537,52.42785973224594
099a6e90-d12e-11ed-ba10-b99b29af1712,8.260874 46.762857,2023-04-02 07:18:00.000 +0200,0,EXPLOSIVE,SLAB,3,DRY,NE,105,46.762857,8.260874,1,MER,MER,4.2,3.1,5.7,5.1,0.0,91.4,7.5,2.9,945.1,1015.5,1014.0,,,1.2,346.0,0.6,2.2,4.3,1.2,4.3,0.0,,0.0,,215.0,,,,67.0,43.0,0.068,681.629638671875,-711.80419921875,568.54248046875,910.9916410829492,51.384435582299645
20077a30-ec16-11ed-aa20-6507e99101f4,8.022203 46.505884,2023-05-08 14:00:00+02:00,0,PERSON,SLAB,2,WET,E,85,46.505884,8.022203,0,JUN,JUN,-2.5,-2.9,-1.8,,,95.9,4.9,-3.1,660.9,,1027.0,3116.6,,3.8,307.0,2.1,7.6,13.7,3.8,13.7,,,,,790.0,294.0,,,,2.0,0.277,638.0261840820312,-635.77880859375,765.41748046875,995.026940772971,39.71404307188509
be39a3d6-d2cf-47e2-870e-49c1b9134b29,8.422461 46.779843,2023-05-17 07:00:00+02:00,4,EXPLOSIVE,SLAB,2,DRY,N,76,46.779843,8.422461,0,TIT,TIT,-7.2,-7.3,-7.0,,,93.9,3.3,-8.0,694.2,,1015.8,3033.2,,23.4,50.0,12.0,43.2,84.2,21.1,76.0,,,,,147.0,,,,,,0.03,760.8377075195312,-135.46142578125,-1545.99609375,1551.91936638633,174.99248631940367
da27b6a6-0240-478c-9ff6-ab83983e37eb,8.426516 46.77779,2023-05-01 07:30:00+02:00,2,EXPLOSIVE,SLAB,2,DRY,NE,182,46.77779,8.426516,0,TIT,TIT,-4.5,-4.6,-4.4,,,97.0,4.3,-4.9,694.7,,1016.3,3037.3,,6.1,242.0,4.1,14.8,22.0,6.0,21.6,,,,,150.0,,,,,,0.043,762.9927978515625,-111.181640625,-1086.21826171875,1091.8935247098818,174.15575022355583
35750744-ea24-4b2e-81ea-9ce6b475ccb9,8.42211 46.780566,2023-04-14 06:30:00+02:00,5,EXPLOSIVE,SLAB,2,DRY,N,230,46.780566,8.42211,0,TIT,TIT,-13.5,-13.9,-13.1,,,100.0,2.2,-13.5,684.5,,1002.4,2926.6,,9.8,323.0,2.1,7.6,35.3,9.6,34.6,,,,,25.0,,,,,,0.008,761.1071166992188,1203.8818359375,-1454.69970703125,1888.2485833536457,219.61051112267845
ad918400-77b8-4908-b8c3-86205d723ff7,8.426238 46.77793,2023-04-29 07:30:00+02:00,2,EXPLOSIVE,SLAB,2,DRY,NE,174,46.77793,8.426238,0,TIT,TIT,-2.8,-3.0,-2.6,,,99.3,4.9,-2.9,697.5,,1020.2,3069.6,,7.7,346.0,2.3,8.3,27.7,7.4,26.6,,,,,143.0,,,,,,0.049,762.98095703125,506.79931640625,-562.60986328125,757.2155607032843,222.01254629079492
74720590-2505-48bc-ad7b-327442e7d8ae,8.216759 46.608474,2023-04-24 12:00:00+02:00,7,PERSON,SLAB,1,DRY,N,79,46.608474,8.216759,0,GRH,GRH,-0.3,-0.8,0.1,,,92.7,5.5,-1.4,797.8,,1012.1,,1450.7,9.5,340.0,4.4,15.8,34.2,8.8,31.7,,,0.2,177.0,631.0,309.0,,,,0.0,0.191,678.3681640625,1724.96337890625,-1325.93994140625,2175.6873366327427,232.45134135486592
72a5d090-d8f5-11ed-9de9-4bc775516e2e,8.249382 46.761703,2023-04-12 16:00:00+02:00,3,NATURAL,FULL_DEPTH,2,WET,SW,66,46.761703,8.249382,0,MER,MER,14.0,13.3,14.8,12.4,11.4,54.6,8.7,5.0,935.5,1002.7,1003.8,,,6.1,319.0,2.4,8.6,22.0,5.9,21.2,0.0,,0.0,,56.0,,,,54.0,0.0,0.095,673.8353271484375,-344.42138671875,-843.0908203125,910.7295004140751,157.7788910334798
b0c20dd8-9d72-42fd-9908-df362afd7f3d,8.425333 46.779051,2023-05-19 07:00:00+02:00,4,EXPLOSIVE,SLAB,2,DRY,N,153,46.779051,8.425333,0,TIT,TIT,-2.9,-3.2,-2.4,,,86.1,4.2,-4.9,697.8,,1020.6,3072.9,,10.4,165.0,6.6,23.8,37.4,10.0,36.0,,,,,261.0,,,,,,0.076,763.8226928710938,4434.85107421875,754.541015625,4498.581575870288,279.6557841562619
50fbf8f0-dd0c-11ed-8f1e-7bb69ddca4ec,8.23687 46.747556,2023-04-20 12:00:00+02:00,5,NATURAL,SLAB,2,DRY,N,56,46.747556,8.23687,0,MER,MER,6.3,6.2,6.4,8.0,7.3,86.6,8.3,4.3,941.8,1011.4,1010.5,,,3.1,291.0,1.2,4.3,11.2,3.1,11.2,0.0,,0.8,,139.0,,,,127.0,0.0,0.078,666.6058349609375,-1043.9208984375,-1423.49853515625,1765.2532174695355,143.74558715192933
50374fe0-d439-11ed-a920-a702e6e7f311,8.245848 46.760908,2023-04-07 16:00:00+02:00,2,NATURAL,FULL_DEPTH,1,WET,SW,41,46.760908,8.245848,0,MER,MER,6.9,6.3,7.6,7.0,6.0,73.1,7.3,2.4,947.8,1017.7,1016.8,,,10.6,305.0,5.2,18.7,38.2,10.4,37.4,0.0,,0.1,,148.0,,,,145.0,0.0,0.096,672.4798583984375,248.18115234375,-138.6474609375,284.2833143240863,240.8099044636349
