avalanche_id,location,trigger_date_time,trigger_date_time_accuracy_code,trigger_type,avalanche_type,avalanche_size,avalanche_moisture,start_zone_aspect,snow_depth_sat,lat,lon,Avalanche Event,closest_station,station_abbr,tre200h0,tre200hn,tre200hx,tre005h0,tre005hn,ure200h0,pva200h0,tde200h0,prestah0,pp0qffh0,pp0qnhh0,ppz700h0,ppz850h0,fkl010h1,dkl010h0,fkl010h0,fu3010h0,fu3010h1,fkl010h3,fu3010h3,wcc006h0,fve010h0,rre150h0,htoauths,gre000h0,oli000h0,olo000h0,osr000h0,ods000h0,sre000h0,erefaoh0
ae543637-3b77-4592-997d-c9f3fc4c3078,8.424992 46.778957,2023-04-26 07:30:00.000 +0200,2,EXPLOSIVE,SLAB,2,DRY,N,229,46.778957,8.424992,1,TIT,TIT,-9.2,-9.2,-9.1,,,23.4,0.7,-26.4,692.4,,1013.2,3013.0,,14.7,275.0,9.8,35.3,52.9,14.4,51.8,,,,,381.0,,,,,,0.118
8cc2e1b0-ecd3-11ed-8adc-7d70564ee41a,8.023437 46.573593,2023-05-05 12:00:00.000 +0200,10,NATURAL,SLAB,4,WET,,185,46.573593,8.023437,1,JUN,JUN,-1.9,-2.3,-1.4,,,79.7,4.2,-5.0,661.1,,1027.3,3117.7,,8.7,152.0,4.1,14.8,31.3,8.4,30.2,,,,,882.0,246.0,,,,41.0,0.291
74720590-2505-48bc-ad7b-327442e7d8ae,8.216759 46.608474,2023-04-23 12:00:00+02:00,7,PERSON,SLAB,1,DRY,N,47,46.57401807230429,8.22214503442916,0,ULR,ULR,10.6,9.8,11.0,11.6,11.3,60.8,7.8,3.3,860.5,,1012.0,,1449.1,6.6,39.0,0.9,3.2,23.8,6.4,23.0,,,0.0,0.0,307.0,332.0,,,287.0,0.0,0.185
b121901c-cb98-4082-b65b-7aa17e40b945,8.420495 46.780984,2023-04-17 08:00:00+02:00,4,EXPLOSIVE,SLAB,2,DRY,NE,213,46.77158327899507,8.390460383027994,0,TIT,TIT,-9.6,-9.7,-9.4,,,91.6,2.7,-10.7,694.0,,1015.4,3030.7,,16.1,31.0,6.3,22.7,58.0,15.2,54.7,,,,,296.0,,,,,,0.057
fdfaf590-ea4c-11ed-8348-fb5788bd30bc,8.001152 46.577404,2023-05-01 12:00:00+02:00,7,NATURAL,SLAB,2,DRY,NW,47,46.591751231833655,7.962024535465496,0,JUN,JUN,-6.3,-6.6,-6.0,,,94.6,3.6,-7.0,653.7,,1016.8,3036.8,,2.9,175.0,1.2,4.3,10.4,2.8,10.1,,,,,737.0,282.0,,,,0.0,0.244
b5d8fc03-e36a-4fa1-9d42-ea7105356bda,8.385358 46.779077,2023-04-16 05:00:00+02:00,3,EXPLOSIVE,UNKNOWN,2,DRY,NE,211,46.7647052035711,8.38075326470656,0,TIT,TIT,-9.8,-10.0,-9.7,,,94.3,2.8,-10.6,691.9,,1012.6,3008.0,,13.0,336.0,3.9,14.0,46.8,12.7,45.7,,,,,0.0,,,,,,0.0
fdfaf590-ea4c-11ed-8348-fb5788bd30bc,8.001152 46.577404,2023-05-03 12:00:00+02:00,7,NATURAL,SLAB,2,DRY,NW,128,46.57021871633776,8.036467836716183,0,JUN,JUN,-2.9,-3.9,-2.2,,,31.6,1.5,-17.7,660.3,,1026.2,3109.8,,10.1,23.0,3.9,14.0,36.4,9.6,34.6,,,,,1046.0,185.0,,,,60.0,0.365
97f65a13-9c8a-44c6-b5dc-c7c4d60fed1e,7.972757 46.575628,2023-04-17 07:30:00+02:00,2,EXPLOSIVE,SLAB,1,DRY,N,224,46.55056515694428,7.986459449877123,0,JUN,JUN,-12.2,-12.6,-11.9,,,76.7,1.8,-15.5,651.9,,1014.3,3028.0,,12.4,40.0,5.8,20.9,44.6,12.0,43.2,,,,,277.0,161.0,,,,57.0,0.052
ce082ed0-ea41-11ed-9704-3747ffc8acfd,7.997493 46.55824,2023-05-04 12:00:00+02:00,7,PERSON,SLAB,3,DRY,S,138,46.51419064359404,7.991690728616659,0,JUN,JUN,-2.7,-3.0,-2.2,,,47.9,2.4,-12.2,661.7,,1028.2,3127.2,,5.8,318.0,3.1,11.2,20.9,5.4,19.4,,,,,1043.0,195.0,,,,60.0,0.37
74720590-2505-48bc-ad7b-327442e7d8ae,8.216759 46.608474,2023-04-22 12:00:00+02:00,7,PERSON,SLAB,1,DRY,N,65,46.57833333521902,8.20209416367219,0,ULR,ULR,14.8,14.2,15.7,18.8,17.9,33.9,5.7,-1.0,861.7,,1013.4,,1462.6,12.6,103.0,6.2,22.3,45.4,12.2,43.9,,,0.0,0.0,931.0,288.0,,,368.0,53.0,0.557
